serial_num,mac_base_addr,pop_code,qr_code
001d4bf34670,001d4bf34670,2845,"001d4bf34670,001d4bf34672,2845"
001d4bf34674,001d4bf34674,6021,"001d4bf34674,001d4bf34676,6021"
001d4bf34678,001d4bf34678,5776,"001d4bf34678,001d4bf3467a,5776"
001d4bf3467c,001d4bf3467c,6891,"001d4bf3467c,001d4bf3467e,6891"
001d4bf34680,001d4bf34680,2891,"001d4bf34680,001d4bf34682,2891"
001d4bf34684,001d4bf34684,4044,"001d4bf34684,001d4bf34686,4044"
001d4bf34688,001d4bf34688,3568,"001d4bf34688,001d4bf3468a,3568"
001d4bf3468c,001d4bf3468c,7950,"001d4bf3468c,001d4bf3468e,7950"
001d4bf34690,001d4bf34690,6274,"001d4bf34690,001d4bf34692,6274"
001d4bf34694,001d4bf34694,3808,"001d4bf34694,001d4bf34696,3808"
